"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
187534	"LUSIKISIKI"	"ZAZALUSIKISIKI"
15444	"LADYBRAND"	"ZAZALADYBRAND"
25798	"LANGA"	"ZAZALANGA"
32661	"LEVUBU"	"ZAZALEVUBU"
33739	"LIVINGSTONE"	"ZAZALIVINGSTONE"
215238	"LEBOWAKGOMO"	"ZAZALEBOWAKGOMO"
187945	"LERAJANENE"	"ZAZALERAJANENE"
8336	"LILONGWE"	"ZAZALILONGWE"
250393	"LIMBOMBO"	"ZAZALIMBOMBO"
24608	"LUIPAARDVLEI"	"ZAZALUIPAARDVLEI"
221006	"LUPANE"	"ZAZALUPANE"
187838	"LWAMONDO"	"ZAZALWAMONDO"
55161	"LYDENBURG"	"ZAZALYDENBURG"
23660	"SAN LAMEER"	"ZAZASANLAMEER"
6544	"MTHATHA"	"ZAZAMTHATHA"
221672	"MTHATHA"	"ZAZAMTHATHA"
6393	"MIDRAND"	"ZAZAMIDRAND"
7264	"MARGATE"	"ZAZAMARGATE"
6897	"MASVINGO"	"ZAZAMASVINGO"
187596	"MATATIELE"	"ZAZAMATATIELE"
6940	"MONTROSE"	"ZAZAMONTROSE"
223211	"MVUMA"	"ZAZAMVUMA"
6392	"MIDDELBURG"	"ZAZAMIDDELBURG"
187120	"MUTARE"	"ZAZAMUTARE"
36507	"MAKHADO"	"ZAZAMAKHADO"
22561	"MOKOPANE"	"ZAZAMOKOPANE"
36508	"MUSINA"	"ZAZAMUSINA"
8340	"MAPUTO"	"ZAZAMAPUTO"
11065	"MALELANE"	"ZAZAMALELANE"
11070	"MALELANE"	"ZAZAMALELANE"
8339	"MALMESBURY"	"ZAZAMALMESBURY"
32663	"MATOKS"	"ZAZAMATOKS"
11136	"MATOLA"	"ZAZAMATOLA"
28913	"MODDERRIVIER"	"ZAZAMODDERRIVIER"
9483	"MELMOTH"	"ZAZAMELMOTH"
6894	"MESSINA"	"ZAZAMESSINA"
337720	"MIDDELDRIFT"	"ZAZAMIDDELDRIFT"
337507	"MIDDELDRIFT"	"ZAZAMIDDELDRIFT"
9148	"MOOI RIVER"	"ZAZAMOOIRIVER"
8341	"MOORREESBURG"	"ZAZAMOORREESBURG"
187831	"MASHAU"	"ZAZAMASHAU"
187508	"MASIZA"	"ZAZAMASIZA"
241237	"MBOKOTA"	"ZAZAMBOKOTA"
203646	"MODIMOLLE"	"ZAZAMODIMOLLE"
183706	"MOOKGOPONG"	"ZAZAMOOKGOPONG"
230404	"MUNSTER"	"ZAZAMUNSTER"
188076	"MACFARLANE"	"ZAZAMACFARLANE"
187708	"MADIBAMASO"	"ZAZAMADIBAMASO"
17189	"MAFIKENG"	"ZAZAMAFIKENG"
187531	"MAGUSHENI"	"ZAZAMAGUSHENI"
241214	"MAHLARENG"	"ZAZAMAHLARENG"
187936	"MAHLOMOLA"	"ZAZAMAHLOMOLA"
215240	"MAHWELERENG"	"ZAZAMAHWELERENG"
218791	"MAJOSI"	"ZAZAMAJOSI"
1802899	"MAKHANDA"	"ZAZAMAKHANDA"
345942	"MAKONDE"	"ZAZAMAKONDE"
187712	"MAKWENG"	"ZAZAMAKWENG"
17185	"MALAMULELE"	"ZAZAMALAMULELE"
187707	"MALATANE"	"ZAZAMALATANE"
187723	"MAMAILA"	"ZAZAMAMAILA"
333699	"MAMELODI"	"ZAZAMAMELODI"
230407	"MANABA"	"ZAZAMANABA"
313322	"MANGUZE"	"ZAZAMANGUZE"
215241	"MANKWENG"	"ZAZAMANKWENG"
217798	"MAPHALLE"	"ZAZAMAPHALLE"
235110	"MARHOLENI"	"ZAZAMARHOLENI"
11060	"MARIENTAL"	"ZAZAMARIENTAL"
1560594	"MARYDALE"	"ZAZAMARYDALE"
187705	"MASOLA"	"ZAZAMASOLA"
340045	"MATATSHE"	"ZAZAMATATSHE"
340043	"MATAVHELA"	"ZAZAMATAVHELA"
269215	"MAVHAMBE"	"ZAZAMAVHAMBE"
193686	"MAZABUKA"	"ZAZAMAZABUKA"
1570338	"MDANTSANE"	"ZAZAMDANTSANE"
187871	"MEDUNSA - STATION"	"ZAZAMEDUNSA-STATION"
187706	"MEHLARENG"	"ZAZAMEHLARENG"
188077	"MEYI"	"ZAZAMEYI"
327980	"MIDDLEBURG"	"ZAZAMIDDLEBURG"
61642	"MOEKETSI"	"ZAZAMOEKETSI"
187714	"MOLETLANE"	"ZAZAMOLETLANE"
189386	"MONZE"	"ZAZAMONZE"
17188	"MOOKETSI"	"ZAZAMOOKETSI"
261742	"MORIA"	"ZAZAMORIA"
187703	"MOSJESKOP"	"ZAZAMOSJESKOP"
187928	"MOTA"	"ZAZAMOTA"
261743	"MPHAMBO"	"ZAZAMPHAMBO"
787527	"MPUMALANGA"	"ZAZAMPUMALANGA"
230419	"MTWALUME"	"ZAZAMTWALUME"
269214	"MUDABULA"	"ZAZAMUDABULA"
229593	"MUKHOMI"	"ZAZAMUKHOMI"
642226	"MURURANI"	"ZAZAMURURANI"
273578	"MVOTI"	"ZAZAMVOTI"
213677	"MZIMBA"	"ZAZAMZIMBA"
213678	"MZUZU"	"ZAZAMZUZU"
331425	"ST MICHEALS"	"ZAZASTMICHEALS"
215239	"PETER MOKABA STADIUM"	"ZAZAPETERMOKABASTADIUM"
6887	"OLIFANTSHOEK"	"ZAZAOLIFANTSHOEK"
8347	"OUDTSHOORN"	"ZAZAOUDTSHOORN"
14735	"ORKNEY"	"ZAZAORKNEY"
199318	"OSHAKATI"	"ZAZAOSHAKATI"
6899	"OTTOSDAL"	"ZAZAOTTOSDAL"
187927	"OAKMOOR - STATION"	"ZAZAOAKMOOR-STATION"
853585	"OGONGO"	"ZAZAOGONGO"
55162	"OHRIGSTAD"	"ZAZAOHRIGSTAD"
8344	"OKAHANDJA"	"ZAZAOKAHANDJA"
661898	"OMAFO"	"ZAZAOMAFO"
573104	"OMBULANTU"	"ZAZAOMBULANTU"
204654	"OMUTHIYA"	"ZAZAOMUTHIYA"
573100	"ONAMULUNGA"	"ZAZAONAMULUNGA"
573102	"ONANKALI"	"ZAZAONANKALI"
204655	"ONDANGWA"	"ZAZAONDANGWA"
199320	"ONGWEDIVA"	"ZAZAONGWEDIVA"
661897	"ONHUNO"	"ZAZAONHUNO"
526061	"ONYAANYA"	"ZAZAONYAANYA"
217804	"ORIGSTAD"	"ZAZAORIGSTAD"
218793	"ORLANDO"	"ZAZAORLANDO"
204656	"OSHIKANGO"	"ZAZAOSHIKANGO"
573101	"OSHIKUKU"	"ZAZAOSHIKUKU"
302599	"OSHIVELO"	"ZAZAOSHIVELO"
8345	"OTAVI"	"ZAZAOTAVI"
8346	"OTJIWARONGO"	"ZAZAOTJIWARONGO"
541881	"OUTAPI"	"ZAZAOUTAPI"
6391	"PRETORIA"	"ZAZAPRETORIA"
6903	"PAARL"	"ZAZAPAARL"
6416	"PIETERMARITZBURG"	"ZAZAPIETERMARITZBURG"
17853	"POLOKWANE"	"ZAZAPOLOKWANE"
17552	"PEDDIE"	"ZAZAPEDDIE"
7262	"PORT SHEPSTONE"	"ZAZAPORTSHEPSTONE"
6901	"POTCHEFSTROOM"	"ZAZAPOTCHEFSTROOM"
6941	"PINETOWN"	"ZAZAPINETOWN"
240685	"PEARSTON"	"ZAZAPEARSTON"
11125	"PARYS"	"ZAZAPARYS"
9481	"PAULPIETERSBURG"	"ZAZAPAULPIETERSBURG"
185355	"PERDEKOP"	"ZAZAPERDEKOP"
16077	"PHALABORWA"	"ZAZAPHALABORWA"
9480	"PIET RETIEF"	"ZAZAPIETRETIEF"
6429	"PIKETBERG"	"ZAZAPIKETBERG"
230417	"PUMULA"	"ZAZAPUMULA"
265533	"PARK RYNIE"	"ZAZAPARKRYNIE"
87661	"PAUL ROUX"	"ZAZAPAULROUX"
230421	"PENNINGTON"	"ZAZAPENNINGTON"
337282	"PHILIPPI"	"ZAZAPHILIPPI"
164581	"PAARL ( STATION )"	"ZAZAPAARL(STATION)"
330160	"PATERSON"	"ZAZAPATERSON"
252071	"PEMBA"	"ZAZAPEMBA"
186822	"PETRUSBURG"	"ZAZAPETRUSBURG"
24398	"POFADDER"	"ZAZAPOFADDER"
187866	"POLOKWANE - STATION"	"ZAZAPOLOKWANE-STATION"
131961	"POSTMASBURG"	"ZAZAPOSTMASBURG"
320521	"POWERHOUSE"	"ZAZAPOWERHOUSE"
337128	"PRIESKA"	"ZAZAPRIESKA"
230414	"SUNWICH PORT"	"ZAZASUNWICHPORT"
253209	"ZAKKARIYYA PARK"	"ZAZAZAKKARIYYAPARK"
230425	"SEA PARK"	"ZAZASEAPARK"
230415	"SUNWHICH PORT"	"ZAZASUNWHICHPORT"
6411	"QUEENSTOWN"	"ZAZAQUEENSTOWN"
10922	"QUMBU"	"ZAZAQUMBU"
187584	"QAMATA"	"ZAZAQAMATA"
6913	"REDDERSBURG"	"ZAZAREDDERSBURG"
8349	"RIVIERSONDEREND"	"ZAZARIVIERSONDEREND"
26342	"RIVERSDALE"	"ZAZARIVERSDALE"
6942	"ROBERTSON"	"ZAZAROBERTSON"
11135	"ROUXVILLE"	"ZAZAROUXVILLE"
230392	"RAMSGATE"	"ZAZARAMSGATE"
8351	"RUSTENBURG"	"ZAZARUSTENBURG"
187713	"RAKWATHA"	"ZAZARAKWATHA"
8348	"REHOBOTH"	"ZAZAREHOBOTH"
6945	"RIVERSDAL"	"ZAZARIVERSDAL"
24607	"ROODEPOORT"	"ZAZAROODEPOORT"
723427	"ROY"	"ZAZAROY"
8350	"RUNDU"	"ZAZARUNDU"
220581	"RUSAPE"	"ZAZARUSAPE"
6952	"STORMS RIVER"	"ZAZASTORMSRIVER"
187588	"WHITE RIVER"	"ZAZAWHITERIVER"
321520	"SCHWEIZER - RENEKE"	"ZAZASCHWEIZER-RENEKE"
310980	"STOCK RD STATION"	"ZAZASTOCKRDSTATION"
6916	"STUTTERHEIM"	"ZAZASTUTTERHEIM"
6954	"SWELLENDAM"	"ZAZASWELLENDAM"
8353	"SOMERSET WEST"	"ZAZASOMERSETWEST"
6949	"SEDGEFIELD"	"ZAZASEDGEFIELD"
11126	"SMITHFIELD"	"ZAZASMITHFIELD"
17183	"SEYMOUR"	"ZAZASEYMOUR"
7260	"SCOTTBURGH"	"ZAZASCOTTBURGH"
8352	"SENEKAL"	"ZAZASENEKAL"
16079	"SIBASA"	"ZAZASIBASA"
6955	"STELLENBOSCH"	"ZAZASTELLENBOSCH"
9143	"STANDERTON"	"ZAZASTANDERTON"
17852	"STILFONTEIN"	"ZAZASTILFONTEIN"
28914	"STRYDENBURG"	"ZAZASTRYDENBURG"
9477	"SECUNDA"	"ZAZASECUNDA"
185346	"SOWETO"	"ZAZASOWETO"
9141	"SPRINGS"	"ZAZASPRINGS"
6970	"SWINBURNE"	"ZAZASWINBURNE"
1074721	"SHURUGWI"	"ZAZASHURUGWI"
226701	"SOSHANGUVE"	"ZAZASOSHANGUVE"
230406	"SOUTHBROOM"	"ZAZASOUTHBROOM"
97581	"SOUTHGATE"	"ZAZASOUTHGATE"
32640	"SPRINGFONTEIN"	"ZAZASPRINGFONTEIN"
9486	"STANGER"	"ZAZASTANGER"
327979	"STORMSRIVIER"	"ZAZASTORMSRIVIER"
18505	"SWARTRUGGENS"	"ZAZASWARTRUGGENS"
187507	"SASOL"	"ZAZASASOL"
333719	"SAULSVILLE"	"ZAZASAULSVILLE"
187717	"SEKGOPO"	"ZAZASEKGOPO"
215242	"SESHEGO"	"ZAZASESHEGO"
187845	"SHAYANDIMA"	"ZAZASHAYANDIMA"
188074	"SLINDENE"	"ZAZASLINDENE"
187874	"SOSHANGUVE - STATION"	"ZAZASOSHANGUVE-STATION"
230413	"SOUTHPORT"	"ZAZASOUTHPORT"
8354	"SPRINGBOK"	"ZAZASPRINGBOK"
335299	"SPRUIT"	"ZAZASPRUIT"
11161	"STEINKOPF"	"ZAZASTEINKOPF"
188073	"STERKSPRUIT"	"ZAZASTERKSPRUIT"
1214439	"STILBAAI"	"ZAZASTILBAAI"
8355	"SWAKOPMUND"	"ZAZASWAKOPMUND"
8556	"THREE SISTERS"	"ZAZATHREESISTERS"
10923	"TSOLO"	"ZAZATSOLO"
11127	"TARKASTAD"	"ZAZATARKASTAD"
32760	"TSOMO"	"ZAZATSOMO"
10920	"TOUWSRIVER"	"ZAZATOUWSRIVER"
11128	"THEUNISSEN"	"ZAZATHEUNISSEN"
16080	"THOHOYANDOU"	"ZAZATHOHOYANDOU"
254503	"TOUWSRIVIER"	"ZAZATOUWSRIVIER"
230405	"TRAFALGAR"	"ZAZATRAFALGAR"
8555	"TROMPSBURG"	"ZAZATROMPSBURG"
97582	"TUGELA"	"ZAZATUGELA"
16078	"TZANEEN"	"ZAZATZANEEN"
31200	"THABA NCHU"	"ZAZATHABANCHU"
241308	"TSAKANE"	"ZAZATSAKANE"
187704	"TSANTSABELA"	"ZAZATSANTSABELA"
187837	"TSHAKUMA"	"ZAZATSHAKUMA"
340046	"TSHIFUME"	"ZAZATSHIFUME"
340047	"TSHIHENI"	"ZAZATSHIHENI"
241309	"TSHIKININI"	"ZAZATSHIKININI"
345941	"TSHILAMBA"	"ZAZATSHILAMBA"
269213	"TSHIMBUPFE"	"ZAZATSHIMBUPFE"
11072	"TSUMEB"	"ZAZATSUMEB"
11129	"UITENHAGE"	"ZAZAUITENHAGE"
265396	"UMZIMKHULU"	"ZAZAUMZIMKHULU"
6886	"UPINGTON"	"ZAZAUPINGTON"
230423	"UMKOMAAS"	"ZAZAUMKOMAAS"
230412	"UMTENTWENI"	"ZAZAUMTENTWENI"
230408	"UVONGO"	"ZAZAUVONGO"
230422	"UMDONI"	"ZAZAUMDONI"
336359	"UMGABABA"	"ZAZAUMGABABA"
9488	"UMHLANGA"	"ZAZAUMHLANGA"
336179	"UMLAAS"	"ZAZAUMLAAS"
230418	"UMZUMBE"	"ZAZAUMZUMBE"
185359	"UTRECHT"	"ZAZAUTRECHT"
185358	"ULUNDI"	"ZAZAULUNDI"
8356	"USAKOS"	"ZAZAUSAKOS"
6405	"VEREENIGING"	"ZAZAVEREENIGING"
6406	"VANDERBIJLPARK"	"ZAZAVANDERBIJLPARK"
8557	"VICTORIA WEST"	"ZAZAVICTORIAWEST"
188082	"VENTERSBURG"	"ZAZAVENTERSBURG"
6890	"VRYBURG"	"ZAZAVRYBURG"
7257	"VILLIERS"	"ZAZAVILLIERS"
9144	"VOLKSRUST"	"ZAZAVOLKSRUST"
8357	"VANRHYNSDORP"	"ZAZAVANRHYNSDORP"
14739	"VREDEFORT"	"ZAZAVREDEFORT"
9482	"VRYHEID"	"ZAZAVRYHEID"
723428	"VENGENZI"	"ZAZAVENGENZI"
215244	"VREDENBURG"	"ZAZAVREDENBURG"
1052176	"VREDENDAL"	"ZAZAVREDENDAL"
229590	"VUWANI"	"ZAZAVUWANI"
6904	"WORCESTER"	"ZAZAWORCESTER"
6408	"WELKOM"	"ZAZAWELKOM"
17184	"WHITTLESEA"	"ZAZAWHITTLESEA"
6948	"WILDERNESS"	"ZAZAWILDERNESS"
10927	"WARRENTON"	"ZAZAWARRENTON"
8362	"WOLMARANSTAD"	"ZAZAWOLMARANSTAD"
11071	"WOLMARANSTAD"	"ZAZAWOLMARANSTAD"
6394	"WITBANK"	"ZAZAWITBANK"
8361	"WINDHOEK"	"ZAZAWINDHOEK"
97584	"WARDEN"	"ZAZAWARDEN"
8360	"WILLOWMORE"	"ZAZAWILLOWMORE"
240688	"WINBURG"	"ZAZAWINBURG"
39326	"WONDERFONTEIN"	"ZAZAWONDERFONTEIN"
188071	"WALAZA"	"ZAZAWALAZA"
187597	"WEPENER"	"ZAZAWEPENER"
241474	"WOLMARANSSTAD"	"ZAZAWOLMARANSSTAD"
185361	"WORKSHOP"	"ZAZAWORKSHOP"
241313	"XITLELANI"	"ZAZAXITLELANI"
39313	"ZEBEDIELA"	"ZAZAZEBEDIELA"
285677	"ZVISHAVANE"	"ZAZAZVISHAVANE"
8363	"ZEERUST"	"ZAZAZEERUST"
188070	"ZASTRON"	"ZAZAZASTRON"
234522	"ZIMBA"	"ZAZAZIMBA"
1704824	"ZIMBABWE"	"ZAZAZIMBABWE"
188129	"ZINNIVILLE"	"ZAZAZINNIVILLE"
187850	"REMBRANDER - ROMAN C..."	""
6918	"RICHMOND (NC)"	""
51527	"SLANGRIVIER"	""
187873	"SOSHANGUVE - TUT"	""
141321	"STATION DURBAN"	""
187940	"TSATANE - BUS STOP"	""
187820	"TSHIAWELO - TRAIN ST..."	""
187846	"TSHKINI - SHOPPING C..."	""
185357	"TUGELA PLAZA"	""
25967	"UMNINI"	""
6541	"UMZIMKULU"	""
198103	"VILANKULO"	""
6907	"WARMBATHS"	""
88561	"WELKOM*"	""
188673	"WENELA"	""
125563	"WHITERIVER"	""
191763	"WILHELMSTAHL"	""
198106	"XAI XAI"	""
187731	"XITELANI ( LOADING P..."	""
97585	"ZAK PARK"	""
209919	"FRANCISTOWN"	""
207099	"HOSEA KUTAKO INTERNA..."	""
209917	"MAHALAPYE"	""
209918	"PALAPYE"	""
209921	"PLUMTREE"	""
209920	"RAMOKGWEBANA"	""
202718	"SUNSET REST"	""
187926	"ALEXANDRA - B P GARA..."	""
187595	"ARCONHOEK"	""
187880	"ATTERIDGEVILLE - STA..."	""
15446	"BAGANI"	""
131981	"BARKLEY WEST"	""
198101	"BEIRA"	""
36513	"BEIT BRIDGE RSA"	""
36300	"BEIT BRIDGE ULTRA CI..."	""
36514	"BEIT BRIDGE ZIMBABWE"	""
183705	"BELA - BELA ( WARMBA..."	""
76581	"BERTHRAMS"	""
187869	"BHABABGU - LOADING P..."	""
6896	"BUBYE VILLAGE"	""
187758	"BUNGENI - LOADING PO..."	""
45182	"CHRISTINA SPA FILLIN..."	""
40179	"COEGA"	""
187745	"DAVEYTON - TRAIN STA..."	""
199877	"DONDO"	""
16684	"DURBAN ( BEACH FRONT..."	""
187884	"EERSTE FABRIEK"	""
187849	"ELIM - HOSPITAL"	""
46139	"ESCOURT"	""
97586	"ESCOURT MIDWAY"	""
9146	"FORT MISTAKE"	""
8321	"GABARONE"	""
130341	"GEORGE STATION"	""
185349	"GLEKSTAD"	""
187935	"GLEN COWIE - BUS STO..."	""
8323	"GRAAF - REINET"	""
164681	"GRAAF - RENIET ( STE..."	""
8326	"HEIDELBERG ( GAUTENG..."	""
199897	"ICHOPE"	""
199923	"INHASSORO"	""
198102	"INHASSURA"	""
191765	"KALKFELD"	""
140861	"KING SHAKA INT AIRPO..."	""
170773	"KITWE"	""
6921	"KROONVAAL TOLL PLAZA"	""
17514	"LEBOMBO BORDER POST"	""
45127	"LOUIS TRICHARDT ( SA..."	""
187924	"LUIPAARDSVLIE - STAT..."	""
125561	"MACHADADORP"	""
187937	"MAGNEETHOOGTE - BUS ..."	""
187867	"MAJOSI - LOADING POI..."	""
36511	"MAKHADO ( LOUIS TRIC..."	""
187721	"MAPHALULE ( LOADING ..."	""
31199	"MASERU"	""
198104	"MASSINGA"	""
198105	"MAXIXI"	""
187752	"MBHOKOTA ( LOADING P..."	""
37981	"MDANSANE"	""
187922	"MEADOWLANDS - POLICE..."	""
8501	"MIDDELBURG ( E. CAPE..."	""
170517	"MIDRAND - NORTHBOUND"	""
170520	"MIDRAND - SOUTH"	""
200559	"MODIMOLLE ( NYLSTROO..."	""
