"STOP_NUMBER"	"STOP_NAME"	"STOP_ZAZA"
121541	"CAPE TOWN TOURISM"	""
319140	"CHINHOYI"	""
326119	"COCHENANE BORDER"	""
240681	"COLESBURG"	""
121562	"DANABAAI"	""
23410	"EASTGATE"	""
33879	"ESCOURT (HARDING STREET)"	""
7286	"FOURWAYS"	""
47571	"GANDHI SQUARE, JOHANNESBURG"	""
121548	"GANSBAAI"	""
121547	"GANSBAAI TOURIST CENTRE"	""
170442	"GOBABIS"	""
302499	"GOLOMOTIO BORDER"	""
141562	"GRAHAMSTOWN MONUMENT"	""
30491	"GRIQUATOWN"	""
121561	"GROOTBRAK"	""
121552	"GROOTTE SCHUUR"	""
35902	"HARTENBOS"	""
90382	"HATFIELD"	""
327003	"HEADLANDS"	""
315499	"HEILDERBERG MALL"	""
121546	"HERMANUS FLOWER STREET"	""
121549	"HERMANUS SHOPPING CENTRE"	""
317380	"HIGH GLEN"	""
271820	"ITS TIME"	""
315746	"JENDA"	""
326382	"JWANENG"	""
171831	"KANG"	""
171832	"KANYE"	""
319139	"KAROI"	""
24444	"KASANE"	""
315745	"KASUNGU"	""
302561	"KAZANGULA BORDER"	""
43879	"KIMBERLEY (TOURIST INFO CENTRE)"	""
16654	"KROONVAAL ( TOLL GATE )"	""
47572	"LILONGWE, MALAWI"	""
315748	"LIWONDE"	""
329239	"LUBUMBASHI"	""
327004	"MACHEKE"	""
311840	"MALALANE"	""
327002	"MARONDERA"	""
313321	"MBAZWANA"	""
17856	"MENLYN PARK"	""
170518	"MIDRAND - SOUTHBOUND"	""
78242	"MKHUZE"	""
315783	"MOATIZE"	""
47573	"MOZAMBIQUE / MALAWI BORDER POST"	""
288767	"MQANDULI"	""
273577	"MTUBATUBA"	""
319619	"MULDERSDRIFT"	""
15445	"MURURANI GATE"	""
297719	"MZIMKHULU"	""
326139	"MZWANZA"	""
315781	"MZWANZA AND ZOBUA"	""
313660	"NANAGA"	""
315780	"NAYAMAPANDA"	""
320520	"NEWTOWN"	""
15448	"NGOMA BORDER"	""
240684	"NGQAMAKWE"	""
326142	"NIEUWOUDTVILLE"	""
272279	"NJAKANJAKA"	""
278960	"NYAMAPANDA BORDER POST"	""
278959	"NYAMPANDA BORDER POST"	""
141564	"P  E STATION"	""
141563	"P E AIRPORT"	""
141565	"P E OPERA HOUSE"	""
64761	"PHILLIPPI"	""
42639	"PIETERMARITZBURG ( MIDLANDS MALL)"	""
